capacity,address,latitude,longitude
197.64,강원특별자치도 고성군 현내면 산학리 산 57번지 6호,38.4877845,128.3973845
99.0,강원특별자치도 고성군 현내면 산학리 산 57번지 6호,38.4877845,128.3973845
393.6,강원특별자치도 고성군 토성면 용촌리 555번지,38.2361059,128.5704878
83.2,강원특별자치도 고성군 거진읍 자산길 19,38.4380131,128.4453946
97.2,강원특별자치도 고성군 거진읍 봉평리 596-1,38.4411054,128.4339051
97.2,강원특별자치도 고성군 거진읍 초계리 산 110-1번지,38.3898887,128.4356519
97.2,"강원특별자치도 고성군 거진읍 초계리 산 110, 110-1번지",38.3912441,128.435358
999.6,강원특별자치도 고성군 거진읍 초계리 산 110번지,38.3912441,128.435358
199.8,강원특별자치도 고성군 거진읍 초계리 산 110-1번지,38.3898887,128.4356519
99.2,강원특별자치도 고성군 죽왕면 구성리 산 53-2,38.3314679,128.4651758
99.0,강원특별자치도 고성군 거진읍 석문리 409-1 413-1,38.4122069,128.4201588
99.0,강원특별자치도 고성군 거진읍 석문리 409-1,38.4122069,128.4201588
99.0,강원특별자치도 고성군 거진읍 석문리 413-1,38.4128503,128.4204379
72.96,강원특별자치도 고성군 거진읍 백두대간로 97,38.4463486,128.3964155
295.68,강원특별자치도 고성군 토성면 성천리 산 66-3,38.2196405,128.5430142
394.24,강원특별자치도 고성군 토성면 성천리 산 66-3,38.2196405,128.5430142
496.8,"강원특별자치도 고성군 거진읍 석문리 358-1, 359-1, 362",38.4061371,128.4184274
499.5,"강원특별자치도 고성군 토성면 신평리 59-1, 59-3",38.2582294,128.5323779
120.6,강원특별자치도 고성군 죽왕면 향목리 303-6 외 1필지,38.3783822,128.4833815
99.0,강원특별자치도 고성군 거진읍 초계리 370번지 1호 건물위,38.3919373,128.4438509
449.28,강원특별자치도 고성군 간성읍 흘리 33번지 외 4필지,38.265388,128.3677398
49.5,강원특별자치도 고성군 거진읍 자산리 19,38.4395439,128.4446354
98.8,강원특별자치도 고성군 현내면 죽정리 253,38.4728178,128.4263256
99.2,강원특별자치도 고성군 간성읍 봉호리 85-2,38.3993551,128.4770689
99.2,강원특별자치도 고성군 간성읍 봉호리 46-6,38.3954091,128.4755448
495.72,강원특별자치도 고성군 토성면 성천리 산 94번지,38.2240558,128.5407085
96.9,강원특별자치도 고성군 토성면 성천리 산 94번지,38.2240558,128.5407085
495.72,"강원특별자치도 고성군 토성면 성천리 산94, 산94-2",38.2200838,128.5267213
195.84,강원특별자치도 고성군 토성면 성천리 산 94번지,38.2240558,128.5407085
180.0,강원특별자치도 고성군 토성면 도원리 495번지,38.2678875,128.4813315
99.2,강원특별자치도 고성군 간성읍 해상리 산137-2,38.3926563,128.4016086
97.92,강원특별자치도 고성군 토성면 원암리 281-2,38.2126893,128.5097263
350.0,"강원특별자치도 고성군 토성면 신평리 462-1, 462-8",38.2390365,128.5229909
99.23,강원특별자치도 고성군 현내면 대진리 427번지,38.4964229,128.4157741
99.2,"강원특별자치도 고성군 토성면 원암리 산28-5, 5-15",38.216607,128.530919
98.42,강원특별자치도 고성군 현내면 죽정리 597번지 6호,38.4609472,128.4143159
294.15,강원특별자치도 고성군 현내면 죽정리 597번지 11호,38.4609472,128.4143159
97.92,강원특별자치도 고성군 현내면 죽정리 597번지 6호,38.4609472,128.4143159
98.42,강원특별자치도 고성군 현내면 죽정리 597번지 5호,38.4609472,128.4143159
496.08,강원특별자치도 고성군 거진읍 송강리 297번지 4호,38.4425398,128.3919253
99.64,강원특별자치도 고성군 거진읍 송강리 303번지,38.4411961,128.398038
496.08,강원특별자치도 고성군 거진읍 송강리 297번지 11호,38.4425398,128.3919253
496.08,"강원특별자치도 고성군 거진읍 송강리 297번지 58호 ( 297-60, 297-63, 297-66  / 6,768)",38.4425398,128.3919253
57.24,강원특별자치도 고성군 거진읍 송강리 297번지 4호,38.4425398,128.3919253
